customer_id,customer_name,email,phone,age,gender,city,state,tier,pincode,signup_date,is_premium
CUST0001,Aryan Maharaj,udantdewan@example.net,+918196001338,21,Male,Nagpur,Punjab,Tier 2,838637,2024-09-20,False
CUST0002,Abeer Dutta,roak@example.org,+915116155940,39,Female,Patna,Telangana,Tier 2,816184,2024-07-04,True
CUST0003,Rehaan Boase,karibimala@example.org,+911647525534,21,Male,Pune,Tamil Nadu,Tier 1,928327,2024-09-03,False
CUST0004,Theodore Nair,karnikazad@example.com,04139537672,26,Female,Mumbai,Himachal Pradesh,Tier 1,388496,2023-08-13,False
CUST0005,Janaki Kanda,yashodharatak@example.org,+911226916697,35,Female,Chennai,Mizoram,Tier 1,801845,2024-06-25,True
CUST0006,Radhika Dugar,uaggarwal@example.net,08281489325,39,Male,Surat,Tripura,Tier 2,880957,2022-06-23,True
CUST0007,Janani Mohanty,dalbirkhosla@example.net,+911718227824,29,Male,Aligarh,Mizoram,Tier 3,383465,2022-01-31,True
CUST0008,Jai Kota,devanshnigam@example.org,8393010310,36,Female,Agra,West Bengal,Tier 2,183473,2023-11-12,False
CUST0009,Urvashi Kibe,mray@example.org,+916566701065,61,Male,Jaipur,Uttar Pradesh,Tier 2,333872,2024-04-17,False
CUST0010,Arya Shere,faqidsavant@example.net,+910801326773,36,Female,Surat,West Bengal,Tier 2,026064,2023-10-18,False
CUST0011,Pallavi Sur,ranveerminhas@example.org,+919805009788,22,Male,Bhopal,Goa,Tier 2,812191,2023-12-08,False
CUST0012,Netra Dar,balveerbumb@example.com,9985435346,26,Male,Delhi,Chhattisgarh,Tier 1,751079,2024-11-14,False
CUST0013,Ethan Yogi,yashawinilanka@example.org,01354278498,30,Male,Nagpur,Andhra Pradesh,Tier 2,124118,2024-05-24,False
CUST0014,Baghyawati Kade,samar48@example.com,00164005242,57,Female,Hyderabad,Telangana,Tier 1,868011,2022-08-30,False
CUST0015,Balendra Pingle,qushidatta@example.org,05053315869,41,Male,Bangalore,Telangana,Tier 1,322602,2024-12-09,False
CUST0016,Yuvraj Loke,hritikraja@example.org,03375433036,37,Female,Mathura,Karnataka,Tier 3,145868,2023-06-01,False
CUST0017,Jack Lal,alkabarad@example.org,6556981693,43,Male,Agra,Himachal Pradesh,Tier 2,608835,2023-05-30,True
CUST0018,Ganga Murthy,mitalyashica@example.com,6564823662,27,Male,Kolkata,Punjab,Tier 1,680443,2023-11-01,False
CUST0019,Udyati Sathe,gkala@example.com,2148951343,28,Female,Jhansi,Uttar Pradesh,Tier 3,200379,2023-10-30,False
